generation,Individual,chromosome_ID,genes,fitness,test_EXP_VAR_SCORE,test_MAE,test_MAPE,test_MAX_ERROR,test_MSE,test_R2,test_RMSE,train_EXP_VAR_SCORE,train_MAE,train_MAPE,train_MAX_ERROR,train_MSE,train_R2,train_RMSE
2,8,9,"[0.089102, 0.266, 2, 32, 'sigmoid', 'mae', [['LSTM', 'GRU']], 'RMSprop']",199.9989847240888,0.2440909869249869,8.967714346082483,0.3600780950442551,63.88095947265624,199.9989847240888,0.0755595601919704,14.142099728261316,0.2414328445254417,11.484193629704604,0.450743894155675,67.99161918640137,313.9574714901097,0.0064474047617986,17.718845094703823
2,9,101,"[0.023294, 0.295, 2, 16, 'sigmoid', 'mae', [['GRU', 'LSTM']], 'Ftrl']",269.7450921386475,1.3441120582324828e-05,10.443678973587629,0.4121400551932763,70.65396469116212,269.7450921386475,-0.2468226874087442,16.423918294324515,1.6443378356600924e-05,13.838211618363625,0.5106966361090632,70.66404670715332,446.2982430002732,-0.4123593730023382,21.125772009568625
3,0,202,"[0.076634, 0.358, 1, 32, 'relu', 'mae', ['GRU'], 'Nadam']",45.58759242938658,0.8227879519738539,4.607108010317018,0.2072484384813974,52.10263916015624,45.58759242938658,0.7892838603488399,6.751858442635374,0.8410138078918192,5.471070425694441,0.2511369901041637,66.58758396148681,62.623853615095314,0.8018199981424706,7.913523463988422
3,1,8,"[0.076634, 0.358, 1, 32, 'relu', 'mae', ['GRU'], 'Nadam']",45.58759242938658,0.8227879519738539,4.607108010317018,0.2072484384813974,52.10263916015624,45.58759242938658,0.7892838603488399,6.751858442635374,0.8410138078918192,5.471070425694441,0.2511369901041637,66.58758396148681,62.623853615095314,0.8018199981424706,7.913523463988422
3,2,201,"[0.045603, 0.399, 2, 32, 'relu', 'mse', [['GRU', 'SimpleRNN']], 'Adam']",59.84166483259897,0.7473882579198822,5.424103171026624,0.2697660163173073,52.10034317016601,59.84166483259897,0.7233983210814295,7.735739449632399,0.7732518432118656,6.648432142838836,0.3282252653889472,62.52857536315918,87.9515348664486,0.7216677937078624,9.378247963582997
3,3,202,"[0.079775, 0.368, 2, 8, 'softsign', 'mse', [['LSTM', 'SimpleRNN']], 'Nadam']",64.40241500343481,0.7104560933155696,5.347986846285678,0.258080388158004,57.138535461425775,64.40241500343481,0.7023175045982936,8.025111525918803,0.696850008499341,6.855484928504311,0.3236234647023522,66.1574711227417,99.89034587902604,0.6838861266263117,9.994515790123405
3,4,102,"[0.076634, 0.358, 1, 32, 'relu', 'mse', ['GRU'], 'Adamax']",75.28873646926081,0.6716010507760379,6.038471670374186,0.2905481631841878,53.93995803833008,75.28873646926081,0.6519984701409769,8.676908232156245,0.67994110746747,7.12228063204425,0.3804631971009093,65.91430862426758,101.44525194047816,0.6789654571312523,10.072003372739614
3,5,102,"[0.089153, 0.376, 4, 16, 'relu', 'mse', ['GRU'], 'Adamax']",115.07196863845236,0.5293655962762436,7.117241335052928,0.3203558384336372,59.332925491333015,115.07196863845236,0.4681113934430181,10.72716032500924,0.5322554406367324,8.659397567342369,0.4108658202310248,64.70479400634765,160.68606659555854,0.4914914503327406,12.676200795015774
3,6,301,"[0.079775, 0.368, 2, 16, 'relu', 'mse', [['LSTM', 'SimpleRNN']], 'Adamax']",120.707780272191,0.5011340444523794,7.25434351223693,0.3262568722507201,64.75761314392089,120.707780272191,0.4420614002765227,10.986709255832292,0.4972490019512658,9.047948634744078,0.434119915539439,64.96576126098633,171.69972967534844,0.4566375145940299,13.10342434920538
3,7,100,"[0.085843, 0.497, 4, 8, 'elu', 'mape', ['GRU'], 'RMSprop']",178.55973616932243,0.5570110287482818,9.475684677145518,0.352755380663465,67.68657012939452,178.55973616932243,0.1746566050617923,13.362624598832465,0.559286267173122,10.622167268113484,0.3694450167580596,68.03526538848877,233.86636094184945,0.2599044426308289,15.29268978766814
